title,source,country,year,description,sector,type,link
EAC Climate Change Policy,East African Community (EAC),Regional,2011,"The East African Community Climate Change Policy (2011) outlines a regional framework for addressing the adverse impacts of climate change across Burundi, Kenya, Rwanda, Tanzania, and Uganda. Developed in response to directives from EAC Heads of State, the policy promotes coordinated adaptation, mitigation, and research efforts to safeguard socio-economic development. It emphasizes urgent action on food security, disaster risk reduction, ecosystem protection, and low-carbon development, while integrating gender equity and leveraging international mechanisms like the UNFCCC and Kyoto Protocol. The policy also calls for national and regional institutional frameworks, capacity building, and the establishment of an EAC Climate Change Fund to support implementation.",Agriculture & Food Security,policy,https://www.eac.int/index.php?option=com_documentmananger&task=download.document&file=bWFpbl9kb2N1bWVudHNfcGRmX0V3bFlaSkJOSFhnU0ZqbUFYTlRvVkRNRUFDIENsaW1hdGUgQ2hhbmdlIFBvbGljeSAyMDEx&counter=484
EAC Climate Change Master Plan(20111-2031),East African Community (EAC),Regional,2011,"The East African Community (EAC) Climate Change Master Plan (2011–2031)** provides a long-term regional framework to address climate risks across the EAC member countries. Developed through a consultative process, it outlines strategies for adaptation, mitigation, research, and capacity building to safeguard socio-economic development. The plan emphasizes food security, disaster risk reduction, ecosystem protection, and low-carbon growth, while promoting gender equity and alignment with international agreements such as the UNFCCC and Kyoto Protocol. It also calls for establishing an EAC Climate Change Fund to support coordinated implementation and resilience-building efforts.
",Climate Adaptation & Mitigation,policy,https://www.eac.int/index.php?option=com_documentmananger&task=download.document&file=bWFpbl9kb2N1bWVudHNfcGRmX0Zsc3lYVWF1UUFZQ3RnbWNpZ3BxVkRNRUFDIENsaW1hdGUtQ2hhbmdlLU1hc3RlciBQbGFu&counter=486
EAC Heads of State Retreat on Food Security and Climate Change,East African Community (EAC),Regional,2010,"he EAC Heads of State Retreat on Food Security and Climate Change brought together leaders from the East African Community to deliberate on urgent regional challenges posed by climate change and its impact on food systems. The retreat underscored the need for coordinated adaptation and mitigation strategies, emphasizing sustainable agriculture, water resource management, and disaster risk reduction. Leaders highlighted the importance of regional cooperation, institutional capacity building, and mobilization of climate finance to safeguard livelihoods and accelerate resilience. The retreat also reaffirmed commitments to align national actions with global frameworks such as the UNFCCC and the SDGs, while promoting inclusive participation of women, youth, and vulnerable communities.
",Agriculture & Food Security,report,https://www.eac.int/index.php?option=com_documentmananger&task=download.document&file=bWFpbl9kb2N1bWVudHNfcGRmX3hIeUhsY3R6d1ZLQUVhZHpyanVMVkRNUmVwb3J0IG9mIEhlYWRzIG9mIFN0YXRlIFJldHJlYXQgb24gRm9vZCBTZWN1cml0eSBhbmQgQ2xpbWF0ZSBDaGFuZ2U=&counter=489
Technical Assessment of Climate Finance in the EAC, United Nations Framework Convention on Climate Change (UNFCCC),Regional,2021,"The Technical Assessment of Climate Finance in the East African Community (EAC), prepared under the UNFCCC Needs-based Climate Finance project, provides a detailed analysis of climate finance flows, needs, and barriers across Burundi, Kenya, Rwanda, South Sudan, Tanzania, and Uganda. Covering 2013–2018, the report notes that the region received about USD 15 billion in public climate finance, far below the estimated USD 198–853 billion needed by 2030 for adaptation and mitigation.
",Climate Finance,report,https://www.eac.int/index.php?option=com_documentmananger&task=download.document&file=bWFpbl9kb2N1bWVudHNfcGRmX2F6aVdwVGFaUk1VdklZWGpPelFhVkRNSjAwMDhfVU5GQ0NDX05CRl9UQV9DbGltYXRlX0ZpbmFuY2VfRUFfV2ViX3YxNw==&counter=943
Rwanda National Environment and Climate Change Policy ,Rwanda Ministry of Environment,Rwanda,2019,"The Rwanda National Environment and Climate Change Policy (2019) provides a unified framework for sustainable development, environmental protection, and climate resilience. It promotes green growth, low-carbon development, and ecosystem conservation while integrating climate adaptation and mitigation across sectors. The policy emphasizes inclusive governance, capacity building, and mobilization of green finance, aligning national efforts with global commitments like the Paris Agreement and the SDGs. It guides implementation through district and sectoral plans, aiming to improve livelihoods, reduce vulnerability, and ensure a clean, healthy environment for current and future generations.",Climate Adaptation & Mitigation,policy,https://www.environment.gov.rw/fileadmin/user_upload/Moe/Publications/Policies/Rwanda_National_Environment_and_Climate_Change_Policy.pdf
"Rwanda’s Climate Adaptation Monitoring, Evaluation, and Learning System in the Agriculture Sector:  Aims, objectives, and needs",Rwanda Ministry of Environment,Rwanda,2023,"Rwanda’s Climate Adaptation Monitoring, Evaluation, and Learning (MEL) System in the Agriculture Sector aims to track, assess, and improve climate adaptation efforts through data-driven decision-making and inclusive governance.
The MEL system supports Rwanda’s updated Nationally Determined Contribution (NDC) by identifying relevant indicators, evaluating adaptation impacts, and promoting learning to inform future policies. It emphasizes institutional coordination, timely data collection, and integration with national planning tools like the Environment and Natural Resources Management Information System (ENR MIS). The system also prioritizes gender equity, stakeholder engagement, and alignment with international frameworks such as the Paris Agreement.
",Agriculture & Food Security,policy,https://napglobalnetwork.org/wp-content/uploads/2023/05/napgn-en-2023-brief-1-rwanda-mel-agriculture-final.pdf
Rwanda Snapshot on Water and Climate, Global Water Partnership,Rwanda,2022,"The Rwanda Snapshot on Water and Climate provides a concise overview of the country’s water resources, climate risks, and resilience strategies, highlighting progress and challenges in achieving SDG 6 and climate adaptation goals.
Rwanda’s hydrographic system is divided between the Nile and Congo basins, with 90% of surface water draining into the Nile. Despite abundant springs and wetlands, access to improved water services remains limited, especially in rural areas. Climate risks—such as floods, landslides, and erosion—pose serious threats to infrastructure, agriculture, and livelihoods. The snapshot underscores high water quality risks, low drought risk, and extremely high flood vulnerability. It also tracks Rwanda’s progress in sanitation coverage, integrated water resource management, and gender-inclusive governance. Institutional reforms, increased WASH financing, and alignment with national strategies like Vision 2050 and the Green Growth and Climate Resilience Strategy are key to enhancing water security and climate resilience.",Water Management & Security,report,https://www.gwp.org/contentassets/536c7e6e652f410195dfe6c98c419464/rwanda-snapshot-gwlp---web.pdf
 Situational Analysis: Low Carbon and Climate Resilient Agricultural actions in Rwanda, Rwanda Ministry of Agriculture and Animal Resources,Rwanda,2023,"This situational analysis outlines Rwanda’s strategic priorities for transitioning to low-carbon and climate-resilient agriculture, identifying key gaps, cost-effective interventions, and alignment with national and international climate goals.
The report, developed by Rwanda’s Ministry of Agriculture with UNDP support, assesses the agriculture sector’s role in achieving the country’s updated Nationally Determined Contribution (NDC). Agriculture accounts for over 50% of Rwanda’s emissions and NDC costs, making it central to climate action. The analysis highlights adaptation measures such as climate-resilient crops, irrigation expansion, agroforestry, and insurance schemes, alongside mitigation actions like improved livestock husbandry, manure management, and energy-efficient agro-processing. It identifies gaps in policy alignment, financing, and data systems, and recommends integrating mitigation and adaptation in future sector plans to ensure sustainable, inclusive, and climate-smart agricultural development.",Agriculture & Food Security,report,https://www.undp.org/sites/g/files/zskgke326/files/2023-02/Situational%20Analyisis%20Final%20ver_0.pdf
RWANDA ENERGY POLICY,Rwanda Ministry of Infrastructure,Rwanda,2015,"The Rwanda Energy Policy (2015) sets out a comprehensive framework to ensure reliable, affordable, and sustainable energy access for households, businesses, and industries. It emphasizes expanding electricity generation and access, reducing dependence on biomass, promoting clean cooking fuels, and diversifying energy sources such as hydropower, solar, methane gas, geothermal, and petroleum. The policy also prioritizes energy efficiency, demand-side management, and private sector participation to drive investment and innovation. By aligning with Rwanda’s Vision 2020 and EDPRS-II, the policy positions energy as a key enabler of socio-economic transformation, poverty reduction, and climate resilience.
",Energy,policy,https://www.mininfra.gov.rw/fileadmin/user_upload/Mininfra/Publications/Policies/Energy/Rwanda_Energy_Policy_March_2015.pdf
"Renewable energy investment factsheet: 
Rwanda",Accelerated Partnership for Renewables in Africa (APRA),Rwanda,2025,"The APRE Renewable Energy Investment Factsheet: Rwanda (2023) provides a concise overview of Rwanda’s energy transition goals, investment opportunities, and policy incentives. It highlights the country’s ambition to achieve universal electrification by 2024 and increase the share of renewable energy to 60% by 2030, while reducing reliance on biomass for cooking.
This factsheet positions Rwanda as an emerging regional energy hub, leveraging renewables to drive sustainable growth, reduce emissions, and attract private sector investment.

",Energy,report,https://www.aprafrica.org/-/media/APRA/Files/RE-Investment/Renewable-Energy-Investment-Factsheet-Rwanda_FF.pdf
RWANDA ENERGY PROFILE,International Renewable Energy Agency (IRENA),Rwanda,2025,"The IRENA Renewable Energy Investment Factsheet: Rwanda (2025) provides a statistical overview of Rwanda’s energy mix, renewable potential, and policy framework. It shows that renewables account for over half of Rwanda’s electricity generation (53% in 2022), primarily from hydropower, with solar and bioenergy contributing smaller shares.
This factsheet positions Rwanda as a country with strong renewable potential, where hydropower remains dominant but solar and clean cooking solutions are critical for diversifying energy access and achieving climate goals.",Energy,report,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Rwanda_Africa_RE_SP.pdf
"RWANDA RENEWABLE 
ENERGY FUND PROJECT",Climate Investment Funds ,Rwanda,2022,"The Rwanda Renewable Energy Fund (REF) Project is the country’s largest off-grid electrification initiative, launched in 2017 with support from the Climate Investment Funds (SREP) and the World Bank. Implemented through the Development Bank of Rwanda, the project provides credit lines and subsidies to expand solar home systems and mini-grids, targeting rural households and small businesses. By engaging the private sector, REF aims to overcome barriers such as affordability, limited financing, and regulatory challenges. The project strengthens energy access, supports climate resilience, and contributes to Rwanda’s goal of universal electrification by 2024.
",Energy,report,https://www.cif.org/sites/cif_enc/files/document/cdi_rwanda_1.pdf
"HYDRO, SOLAR, AND WIND: ENERGY POLICY 
IMPLICATION IN RENEWABLE ENERGY DEPLOYMENT IN 
RWANDA ",Rwema Michel,Rwanda,2017,"This paper examines Rwanda’s renewable energy sector, focusing on hydro, solar, and wind resources and their policy implications. Conducted at the Pan African University Institute of Water and Energy Sciences (2017), the study analyzes meteorological data from five locations to assess solar and wind potential, while reviewing Rwanda’s energy policy and strategic plans. Findings show hydro dominates electricity generation (60% of installed capacity), yet solar radiation is strong nationwide and wind potential exists in Kanombe. The paper concludes that Rwanda’s energy policy overly favors hydro, urging diversification and stronger promotion of solar and wind to ensure sustainable, climate-resilient energy development.
",Energy,research,https://repository.pauwes-cop.net/bitstream/handle/1/131/MT_Michel%20Rwema.pdf?sequence=1
Draft ENERGY SECTOR STRATEGIC PLAN,Rwanda Ministry of Infrastructure,Rwanda,2018,"The Draft Energy Sector Strategic Plan (2018–2023) provides Rwanda’s roadmap for achieving universal energy access, strengthening reliability, and transitioning to sustainable energy systems. It sets ambitious targets to expand electricity generation, diversify energy sources, reduce transmission losses, and promote modern cooking technologies, while ensuring petroleum reserves cover three months of supply.
This plan positions energy as a critical enabler of Rwanda’s economic transformation, supporting industrialization, urbanization, and poverty reduction while ensuring sustainability and resilience.
",Energy,research,https://www.minecofin.gov.rw/fileadmin/user_upload/Minecofin/Publications/STRATEGIES/Sector_Strategic_Plans/Energy.pdf
"Rwanda: Energy 
Development Plan to 
Decarbonise the Economy"," The University of Technology Sydney  
Institute for Sustainable Futures",Rwanda,2025,"This report titled “Rwanda: Energy Development Plan to Decarbonise the Economy” (2025) by the University of Technology Sydney’s Institute for Sustainable Futures outlines pathways for Rwanda to achieve a fully decarbonised energy system by 2050. It emphasizes scaling up solar power, electrifying cooking and transport, and improving energy efficiency to meet Paris Agreement targets. The plan highlights investment needs, socio-economic benefits, and community participation, positioning Rwanda as a leader in Africa’s clean energy transition.
",Energy,research,https://www.uts.edu.au/globalassets/sites/default/files/2025-03/UTS-Africa-Power-Report-Rwanda-WEB2.pdf
Kenya National Climate Change Framework Policy,Kenya Ministry of Environment and Natural Resources,Kenya,2016,"Kenya’s National Climate Change Framework Policy (2016) establishes a comprehensive approach to climate resilience and low-carbon development. It integrates climate change into national and county planning, aligning with Vision 2030 and international commitments like the UNFCCC. The policy prioritizes adaptation in vulnerable sectors—agriculture, water, health—and promotes mitigation through renewable energy, reforestation, and sustainable transport. It emphasizes inclusive governance, public awareness, and equitable participation, including gender and youth. Through institutional coordination and stakeholder engagement, the policy aims to safeguard livelihoods, ecosystems, and economic growth against climate risks.
",Climate Adaptation & Mitigation,policy,https://repository.kippra.or.ke/server/api/core/bitstreams/1b901c75-3ed7-4f19-aecf-1aa7a8b5a28e/content
Policy Brief Climate Security in Kenya,Friedrich-Ebert-Stiftung Kenya Office,Kenya,2022,"This brief highlights how climate change acts as a threat multiplier, intensifying existing vulnerabilities such as poverty, resource scarcity, and political instability—especially in Kenya’s arid and semi-arid regions. It emphasizes that traditional security approaches are insufficient to address climate-induced risks like migration, food insecurity, and intercommunal conflict.
Key recommendations include strengthening early warning systems, integrating climate data into security planning, and supporting community-based resilience strategies. The brief urges Kenya to lead in shaping global discourse on climate security, especially within the African Union and UN frameworks.",Climate Adaptation & Mitigation,policy,https://library.fes.de/pdf-files/bueros/kenia/19995.pdf
Climate Resilience and Water Security: Key Messages from the REACH Kenya Programme (2015-2024),The Reach Kenya Programme,Kenya,2015,"The REACH Kenya Programme (2015–2024) highlights the critical role of climate-resilient water services in reducing poverty and vulnerability in arid and semi-arid regions.
This report synthesizes key lessons from nearly a decade of research and action across Turkana, Kitui, and Nairobi. It emphasizes that climate resilience in water security requires long-term investment, inclusive governance, and adaptive infrastructure. The programme demonstrates how reliable water access improves health, education, and livelihoods, especially for women and marginalized groups. It calls for integrating climate risk into water planning, strengthening monitoring systems, and supporting county-level institutions. The findings advocate for scaling evidence-based, locally led solutions to build resilience in the face of growing climate pressures.
",Water Management & Security,report,https://reachwater.uk/wp-content/uploads/2024/12/Climate-Resilience-and-Water-Security_-Key-Messages-from-the-REACH-Kenya-Programme-_2015-2024.pdf
KENYA CLIMATE SMART AGRICULTURE STRATEGY (2017 - 2026),Kenya Ministry of Agriculture,Kenya,2016,"Kenya’s Climate Smart Agriculture Strategy (2017–2026) provides a national framework to enhance agricultural productivity, build climate resilience, and reduce greenhouse gas emissions.
The strategy outlines four key pillars: adaptation and resilience, mitigation of emissions, enabling policy and institutional frameworks, and addressing cross-cutting issues such as financing, gender inclusion, and capacity building. It targets vulnerable farming systems—especially rain-fed agriculture—by promoting sustainable land and water management, climate-resilient crops, and efficient livestock practices. With an estimated investment need of KSh 500 billion, the strategy aligns with Vision 2030 and Kenya’s international climate commitments, aiming to transform agriculture into a climate-smart, inclusive, and economically viable sector.
",Agriculture & Food Security,policy,https://kilimo.go.ke/wp-content/uploads/2025/09/Kenya-Climate-Smart-Agriculture-Strategy-2017-2026.pdf
"Agriculture and Climate Change in Kenya: Climate Chaos, Policy Dilemmas"," Immaculate Mainai, Andrew Newshamii and Michael Okotii",Kenya,2013,"This paper explores how climate change is reshaping Kenya’s agricultural policy landscape, revealing tensions between technical solutions, competing interests, and the realities of smallholder farming.
Authored by Maina, Newsham, and Okoti, the study maps key narratives—such as food security, resilience, and climate-smart agriculture—and examines how actors from government, NGOs, and the private sector position themselves within these debates. It highlights policy fragmentation, limited farmer engagement, and the dominance of top-down approaches. The authors call for more inclusive, coherent, and locally grounded strategies to ensure climate responses truly support vulnerable communities and sustainable agricultural development.
",Agriculture & Food Security,research,https://assets.publishing.service.gov.uk/media/57a08a44e5274a31e00004f4/FAC_Working_Paper_070.pdf
An Assessment of Agricultural Sector Policies and Climate Change in Kenya: Nexus between Research and Practice,"Wilfred Nyangena, Paul Guthiga, Maurice Ogada, Geophrey Sikei",Kenya,2016,"This paper assesses the alignment between agricultural policies and climate change responses in Kenya, highlighting gaps between research insights and policy implementation.
Authored by Nyangena, Guthiga, Ogada, and Sikei, the study examines how climate change is addressed in key agricultural strategies and whether evidence from research informs policy decisions. It finds limited integration of climate risks into planning, weak institutional coordination, and inadequate use of scientific data. The authors advocate for stronger linkages between research and policymaking, improved stakeholder engagement, and climate-responsive agricultural reforms to enhance resilience and sustainability.",Agriculture & Food Security,research,https://kippra.or.ke/wp-content/uploads/2021/02/agricultural-sector-policies-and-climate-change-in-kenya-nexus-between-research-and-practice-wp20.pdf
Kenya National Energy Policy 2025 – 2034 (Draft 1),Kenya Ministry of Energy & Petroleum,Kenya,2025,"Kenya National Energy Policy 2025–2034 provides a strategic framework to guide the country’s energy transition over the next decade. It emphasizes universal access, affordability, and energy security, while promoting renewable energy sources such as solar, wind, geothermal, and bioenergy. The policy seeks to reduce dependence on fossil fuels, expand clean cooking solutions, and drive green industrialization. It also highlights innovation, resilience, and sustainability as key pillars, ensuring equitable participation of communities and private sector actors in shaping Kenya’s energy future.
",Energy,policy,https://energy.go.ke/sites/default/files/Final%20Draft%20%20National%20Energy%20Policy%2018022025.pdf
"Kenya 2024: Energy Policy Review
",International Energy Agency (IEA ),Kenya,2024,"The IEA Kenya 2024: Energy Policy Review provides a comprehensive assessment of Kenya’s energy sector, highlighting progress, challenges, and pathways for sustainable growth. The report notes Kenya’s strong reliance on renewable energy, with geothermal, hydropower, wind, and solar contributing over 80% of electricity generation. It emphasizes the country’s ambition to achieve universal access by 2030, expand clean cooking solutions, and strengthen energy security through regional power trade and infrastructure investment. The review also underscores the importance of private sector participation, regulatory reforms, and climate resilience in driving Kenya’s transition to a low-carbon economy.
",Energy,report,https://iea.blob.core.windows.net/assets/98bc7ce1-b22d-48c9-9ca2-b668ffbfcc4b/Kenya2024.pdf
